fold,item,train_degree,embedding_norm
0,1,4,3.0869195461273193
0,2,9,2.6975011825561523
0,5,5,2.998227834701538
0,6,3,2.543748378753662
0,8,2,2.4837727546691895
0,11,3,2.71944260597229
0,12,4,2.481423854827881
0,13,4,2.509023666381836
0,14,3,2.260500192642212
0,20,2,0.965015709400177
0,22,4,3.0068180561065674
0,25,4,1.9416391849517822
0,30,4,2.8294036388397217
0,31,3,2.6151418685913086
0,32,4,2.5957939624786377
0,33,2,4.63981819152832
0,38,3,2.5931148529052734
0,39,7,2.4573850631713867
0,40,5,2.477970838546753
0,44,4,2.8154194355010986
0,46,4,2.0193867683410645
0,49,5,2.9430689811706543
0,55,4,2.42008113861084
0,58,3,3.8301572799682617
0,59,3,2.6614925861358643
0,60,5,2.8077354431152344
0,62,4,2.6557860374450684
0,63,4,2.907029628753662
0,64,7,2.5136752128601074
0,65,3,3.143678903579712
0,69,6,2.6827616691589355
0,72,5,2.831120729446411
0,78,5,2.390423536300659
0,80,2,0.6269189715385437
0,81,4,2.8126707077026367
0,82,4,3.8671107292175293
0,89,4,2.5719692707061768
0,90,6,3.278614044189453
0,91,5,2.6746890544891357
0,93,2,0.32838132977485657
0,94,7,1.8111172914505005
0,95,4,2.1775171756744385
0,96,5,2.510686159133911
0,97,5,2.675537109375
0,98,4,2.7195982933044434
0,99,3,2.498699426651001
0,101,5,2.753509759902954
0,103,4,3.808156967163086
0,104,3,3.5540854930877686
0,105,4,2.8688275814056396
0,106,3,2.8438000679016113
0,108,4,2.4956982135772705
0,112,4,2.7088782787323
0,113,8,2.5175938606262207
0,118,5,2.575223684310913
0,121,4,3.4890639781951904
0,122,4,3.2150039672851562
0,123,5,1.8138490915298462
0,127,3,2.7804036140441895
0,128,4,2.386359214782715
0,129,4,2.3193047046661377
0,132,4,2.531057357788086
0,134,5,0.8285245299339294
0,135,3,1.0047003030776978
0,136,7,2.339261770248413
0,137,4,2.610657215118408
0,140,4,0.9169946908950806
0,142,5,0.8829026818275452
0,143,7,1.338592529296875
0,148,5,0.4755702018737793
0,149,5,0.709063708782196
0,155,4,1.8302996158599854
0,157,5,0.9581909775733948
0,158,1,1.229444146156311
0,164,5,1.1039104461669922
0,166,7,0.47439324855804443
0,168,5,2.543787956237793
0,169,3,0.3432813286781311
0,173,4,3.604950428009033
0,174,2,2.4020028114318848
0,176,5,3.086075782775879
0,177,3,2.1356728076934814
0,183,6,2.6750528812408447
